vessel,cruise,tow,net,lat_decimal,long_decimal,min_depth,max_depth,volume_filtered,time_start_gmt,time_start_local,is_day,net_size
Sally Ride,SR2407,1,0,27.30506,-111.28438,-0.7,1009.6,1786.2,2024-05-04 18:03:09,2024-05-04 11:03:09,TRUE,
Sally Ride,SR2407,1,1,27.29534,-111.27126,793.2,990.1,1467.2,2024-05-04 19:04:25,2024-05-04 12:04:25,TRUE,
Sally Ride,SR2407,1,2,27.28527,-111.26562,495.6,793.1,2426.7,2024-05-04 19:30:27,2024-05-04 12:30:27,TRUE,
Sally Ride,SR2407,1,3,27.27952,-111.2593,347.7,495.5,1349.6,2024-05-04 20:02:34,2024-05-04 13:02:34,TRUE,
Sally Ride,SR2407,1,4,27.27508,-111.25572,248,347.6,1033.2,2024-05-04 20:21:09,2024-05-04 13:21:09,TRUE,
Sally Ride,SR2407,1,5,27.2726,-111.25289,198.8,247.9,626.4,2024-05-04 20:35:45,2024-05-04 13:35:45,TRUE,
Sally Ride,SR2407,1,6,27.27049,-111.25127,158.8,198.8,509.3,2024-05-04 20:44:00,2024-05-04 13:44:00,TRUE,
Sally Ride,SR2407,1,7,27.26765,-111.2499,119.3,158.9,729.3,2024-05-04 20:50:56,2024-05-04 13:50:56,TRUE,
Sally Ride,SR2407,1,8,27.26587,-111.24805,78.8,119.2,495.7,2024-05-04 21:00:43,2024-05-04 14:00:43,TRUE,
Sally Ride,SR2407,1,9,27.26405,-111.24691,33.7,78.7,454.1,2024-05-04 21:07:20,2024-05-04 14:07:20,TRUE,
Sally Ride,SR2407,1,10,27.26252,-111.24573,-0.5,33.5,370.9,2024-05-04 21:13:40,2024-05-04 14:13:40,TRUE,
Sally Ride,SR2407,2,0,27.2276,-111.24173,0.9,992.3,4028.7,2024-05-05 04:41:48,2024-05-04 21:41:48,FALSE,
Sally Ride,SR2407,2,1,27.21785,-111.22208,788.7,991.3,1902.1,2024-05-05 05:48:42,2024-05-04 22:48:42,FALSE,
Sally Ride,SR2407,2,2,27.20873,-111.21556,545.3,788.5,2227.3,2024-05-05 06:15:54,2024-05-04 23:15:54,FALSE,
Sally Ride,SR2407,2,3,27.20137,-111.20956,347.3,545.2,1967,2024-05-05 06:41:15,2024-05-04 23:41:15,FALSE,
Sally Ride,SR2407,2,4,27.19835,-111.20491,247.7,347.1,662,2024-05-05 07:01:31,2024-05-05 00:01:31,FALSE,
Sally Ride,SR2407,2,5,27.19677,-111.20309,198.9,247.5,389.4,2024-05-05 07:09:42,2024-05-05 00:09:42,FALSE,
Sally Ride,SR2407,2,6,27.19551,-111.2021,158.6,198.7,303.2,2024-05-05 07:14:03,2024-05-05 00:14:03,FALSE,
Sally Ride,SR2407,2,7,27.1929,-111.20132,79.1,158.4,657.5,2024-05-05 07:17:30,2024-05-05 00:17:30,FALSE,
Sally Ride,SR2407,2,8,27.19049,-111.19975,-0.5,79,620.6,2024-05-05 07:24:34,2024-05-05 00:24:34,FALSE,
Sally Ride,SR2407,3,1,27.34482,-111.3148,-0.4,993.2,2337.3,2024-05-05 18:17:37,2024-05-05 11:17:37,TRUE,
Sally Ride,SR2407,3,2,27.33568,-111.29738,793.1,991,1577.9,2024-05-05 19:18:35,2024-05-05 12:18:35,TRUE,
Sally Ride,SR2407,3,3,27.32659,-111.29112,545.2,793,2096.6,2024-05-05 19:44:17,2024-05-05 12:44:17,TRUE,
Sally Ride,SR2407,3,4,27.31941,-111.28515,343.8,545.1,1840.1,2024-05-05 20:09:32,2024-05-05 13:09:32,TRUE,
Sally Ride,SR2407,3,5,27.31531,-111.28073,248.1,343.6,922.8,2024-05-05 20:29:06,2024-05-05 13:29:06,TRUE,
Sally Ride,SR2407,3,6,27.31342,-111.27809,198.4,248,450.6,2024-05-05 20:40:24,2024-05-05 13:40:24,TRUE,
Sally Ride,SR2407,3,7,27.31195,-111.27693,158.7,198.2,366.1,2024-05-05 20:45:34,2024-05-05 13:45:34,TRUE,
Sally Ride,SR2407,3,8,27.30974,-111.27604,78.7,158.5,593.5,2024-05-05 20:49:36,2024-05-05 13:49:36,TRUE,
Sally Ride,SR2407,3,9,27.30878,-111.27462,39.5,78.4,259.9,2024-05-05 20:55:42,2024-05-05 13:55:42,TRUE,
Sally Ride,SR2407,3,10,27.30776,-111.27398,-0.4,39.3,278.8,2024-05-05 20:58:22,2024-05-05 13:58:22,TRUE,
Sally Ride,SR2407,4,0,27.24143,-111.24373,-0.1,349,1328.9,2024-05-07 05:19:14,2024-05-06 22:19:14,FALSE,
Sally Ride,SR2407,4,1,27.23865,-111.24318,322.8,348.8,397.7,2024-05-07 05:46:35,2024-05-06 22:46:35,FALSE,
Sally Ride,SR2407,4,2,27.23612,-111.2431,298.2,322.5,386.9,2024-05-07 05:53:14,2024-05-06 22:53:14,FALSE,
Sally Ride,SR2407,4,3,27.23227,-111.24276,273.2,300.5,608.2,2024-05-07 05:59:19,2024-05-06 22:59:19,FALSE,
Sally Ride,SR2407,4,4,27.22957,-111.24245,273.2,298,374.1,2024-05-07 06:08:32,2024-05-06 23:08:32,FALSE,
Sally Ride,SR2407,4,5,27.22685,-111.24224,272.7,298.4,444,2024-05-07 06:15:00,2024-05-06 23:15:00,FALSE,
Sally Ride,SR2407,4,6,27.22479,-111.24206,248.5,272.6,355.9,2024-05-07 06:21:32,2024-05-06 23:21:32,FALSE,
Sally Ride,SR2407,4,7,27.22289,-111.24199,223.3,248.4,332.1,2024-05-07 06:26:28,2024-05-06 23:26:28,FALSE,
Sally Ride,SR2407,4,8,27.22095,-111.24192,198.3,223.3,342.4,2024-05-07 06:31:00,2024-05-06 23:31:00,FALSE,
Sally Ride,SR2407,4,9,27.21526,-111.24186,-0.2,198.3,1237.7,2024-05-07 06:35:40,2024-05-06 23:35:40,FALSE,
Sally Ride,SR2407,5,0,27.22889,-111.24173,0.6,423.9,1737.6,2024-05-07 17:59:25,2024-05-07 10:59:25,TRUE,
Sally Ride,SR2407,5,1,27.22547,-111.24171,397.2,420.5,460.6,2024-05-07 18:34:24,2024-05-07 11:34:24,TRUE,
Sally Ride,SR2407,5,2,27.22239,-111.24171,372.4,397.3,444.9,2024-05-07 18:40:33,2024-05-07 11:40:33,TRUE,
Sally Ride,SR2407,5,3,27.22014,-111.24171,357.5,372.4,323.3,2024-05-07 18:46:04,2024-05-07 11:46:04,TRUE,
Sally Ride,SR2407,5,4,27.2169,-111.2417,338,357.5,474.2,2024-05-07 18:50:06,2024-05-07 11:50:06,TRUE,
Sally Ride,SR2407,5,5,27.21503,-111.2417,322,338.1,282.5,2024-05-07 18:55:54,2024-05-07 11:55:54,TRUE,
Sally Ride,SR2407,5,6,27.21251,-111.2417,297.9,321.9,394.8,2024-05-07 18:59:17,2024-05-07 11:59:17,TRUE,
Sally Ride,SR2407,5,7,27.20961,-111.2417,268,297.8,459.3,2024-05-07 19:03:48,2024-05-07 12:03:48,TRUE,
Sally Ride,SR2407,5,8,27.20743,-111.2417,244.6,267.8,352,2024-05-07 19:09:00,2024-05-07 12:09:00,TRUE,
Sally Ride,SR2407,5,9,27.20742,-111.24169,244.6,244.6,0,2024-05-07 19:12:55,2024-05-07 12:12:55,TRUE,
Sally Ride,SR2407,5,10,27.1993,-111.2417,0,244.6,2088.1,2024-05-07 19:12:55,2024-05-07 12:12:55,TRUE,
Sally Ride,SR2407,6,0,27.48882,-111.24169,6,252.8,1754.7,2024-05-08 09:19:54,2024-05-08 02:19:54,FALSE,
Sally Ride,SR2407,6,1,27.48088,-111.24166,247,250.4,989.2,2024-05-08 09:49:57,2024-05-08 02:49:57,FALSE,
Sally Ride,SR2407,6,2,27.47346,-111.24167,247.8,252.3,931.6,2024-05-08 10:04:11,2024-05-08 03:04:11,FALSE,
Sally Ride,SR2407,6,3,27.46912,-111.24166,247.4,249.5,541.8,2024-05-08 10:17:30,2024-05-08 03:17:30,FALSE,
Sally Ride,SR2407,6,4,27.46457,-111.24166,248.3,250.9,553.2,2024-05-08 10:25:19,2024-05-08 03:25:19,FALSE,
Sally Ride,SR2407,6,5,27.4526,-111.24167,247.3,251.7,1504.7,2024-05-08 10:33:27,2024-05-08 03:33:27,FALSE,
Sally Ride,SR2407,6,6,27.42456,-111.24167,246.5,250.1,3556.3,2024-05-08 10:54:58,2024-05-08 03:54:58,FALSE,
Sally Ride,SR2407,6,7,27.41694,-111.24167,246.6,251.2,997,2024-05-08 11:45:18,2024-05-08 04:45:18,FALSE,
Sally Ride,SR2407,6,8,27.40986,-111.24167,198.5,253.9,1021.9,2024-05-08 11:58:59,2024-05-08 04:58:59,TRUE,
Sally Ride,SR2407,6,9,27.40273,-111.24167,-0.3,198.4,1484.1,2024-05-08 12:11:40,2024-05-08 05:11:40,TRUE,
Sally Ride,SR2407,7,0,26.22745,-110.39902,2.6,337.7,3145.1,2024-05-10 09:30:04,2024-05-10 02:30:04,FALSE,
